Değişken,Ortalama,Median,Varyans,Standart Sapma,Minimum,Maksimum,Veri Sayısı
release_year,2014.18,2017.0,77.78,8.82,1925.0,2021.0,8807
duration_numeric,69.85,88.0,2582.15,50.81,1.0,312.0,8804
